title,subtitle,precio,ubicacion,duracion,caracteristicas,imagen_url
Paracas National Reserve,Reserva Nacional con fauna marina,35,Paracas,4h,"Miradores, playas, aves",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/reserve1.webp
Islas Ballestas,Tour en bote a fauna marina,40,Paracas,2h,"Pingüinos, lobos marinos",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/ballestas1.webp
Dune Buggy & Sandboard,Aventura extrema,50,Huacachina,2h,"Buggy, sandboard",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/buggy1.webp
Full Day Paracas & Huacachina,Tour completo Ica + Paracas,90,Ica,12h,"Ballestas, buggy, viñedos",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/full.jpg
Nazca Lines Overflight,Sobrevuelo Líneas de Nazca,110,Nazca,1h,"Sobrevuelo arqueológico",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/nazca.jpg
Yacht Charter Paracas,Paseo premium en yate,300,Paracas,3h,"Yate, relax, snorkeling",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/yate.jpg
Private Tour Paracas,Tour personalizado privado,120,Paracas,4h,"Guía privado, playas",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/private.jpg
Special Services Paracas,Servicio fotográfico y VIP,150,Paracas,4h,"Fotos, transporte VIP",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/special.jpg
Chili River White Water Rafting,Rafting clase III,70,Arequipa,3h,"Rafting, kayak",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/rafting.jpg
Pantanos de Villa Half Day,Humedales de Lima con aves,60,Lima,4h,"Aves, naturaleza",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/villa.jpg
Ica Vineyards Tour,Degustación de vinos y piscos,50,Ica,4h,"Degustación guiada",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/vinedos.jpg
Paracas Kayak Experience,Remo en bahía,55,Paracas,2h,"Kayak, fauna marina",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/kayak.jpg
Paracas ATV Tour,Aventura en cuatrimotos,80,Paracas,2h,"ATV, dunas",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/atv.jpg
Huacachina Oasis Tour,Recorrido por oasis,35,Huacachina,3h,"Caminata, fotos",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/huacachina.webp
Ballestas Sunset Luxury,Atardecer premium,180,Paracas,2h,"Yate, vino",https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/sunset.jpg
